PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other 
E14001104,Blackpool North and Fleetwood,North West,24.80,51.54,3.57,6.12,13.00,0,0,0.98,18.91,41.59,1.13,1.74,6.40,0,0,0.17,31.30,60.17,7.87,13.97,21.97,0,0,2.83 
E14001105,Blackpool South,North West,19.91,38.12,1.98,5.49,33.43,0,0,1.06,13.67,28.87,0.57,1.43,21.17,0,0,0.20,27.12,47.92,4.63,12.45,46.23,0,0,2.92 
E14001106,Blaydon and Consett,North East,16.26,52.00,7.10,2.44,20.58,0,0,1.61,12.01,41.68,2.37,0.41,11.83,0,0,0.33,21.14,61.86,14.97,6.45,31.84,0,0,4.61 
E14001107,Blyth and Ashington,North East,20.22,51.09,5.53,2.53,20.63,0,0,0,15.26,41.02,2.07,0.46,12.00,0,0,0,25.96,60.18,11.87,6.93,30.99,0,0,0 
E14001108,Bognor Regis and Littlehampton,South East,33.64,32.21,10.56,11.67,9.74,0,0,2.18,26.03,23.18,4.67,4.06,4.05,0,0,0.49,42.18,42.33,19.01,23.54,18.27,0,0,6.39 
E14001109,Bolsover,East Midlands,23.08,50.59,3.90,3.25,19.19,0,0,0,16.71,39.89,0.94,0.48,10.20,0,0,0,30.28,61.31,9.72,9.27,30.03,0,0,0 
E14001110,Bolton North East,North West,26.78,49.55,5.94,2.71,13.05,0,0,1.96,20.77,39.62,1.96,0.46,6.43,0,0,0.41,33.62,59.77,12.32,7.60,22.71,0,0,5.36 
E14001111,Bolton South and Walkden,North West,17.83,50.24,4.24,15.64,9.12,0,0,2.93,12.96,37.11,1.18,4.91,3.88,0,0,0.63,23.44,62.27,10.95,32.34,16.73,0,0,7.68 
E14001112,Bolton West,North West,25.73,49.26,3.35,3.47,16.72,0,0,1.46,19.77,39.75,0.87,0.67,8.29,0,0,0.30,32.17,58.53,7.74,9.19,28.12,0,0,4.04 
E14001113,Bootle,North West,3.59,72.80,3.37,9.31,7.64,0,0,3.29,2.32,60.20,0.88,2.72,2.95,0,0,0.69,5.16,83.11,8.19,20.49,14.28,0,0,9.60 
