PCON24CD,Seat,Region, mean_Con, mean_Lab, mean_LDem, mean_Green, mean_Reform, mean_Plaid, mean_SNP, mean_Other, lo_Con, lo_Lab, lo_LDem, lo_Green, lo_Reform, lo_Plaid, lo_SNP, lo_Other, hi_Con, hi_Lab, hi_LDem, hi_Green, hi_Reform, hi_Plaid, hi_SNP, hi_Other
E14001515,Stalybridge and Hyde,North West,14.47690157,  48.44 ,  3.41 ,  8.70 ,  23.05 ,  -   ,  -   ,  1.93 ,  10.54 ,  38.25 ,  0.77 ,  2.60 ,  13.76 ,  -   ,  -   ,  0.42 ,  18.61 ,  58.31 ,  8.06 ,  18.48 ,  33.67 ,  -   ,  -   ,  5.31 
E14001516,Stevenage,East of England,27.3331105,  42.55 ,  7.05 ,  2.24 ,  19.04 ,  -   ,  -   ,  1.78 ,  20.85 ,  33.31 ,  1.92 ,  0.32 ,  10.31 ,  -   ,  -   ,  0.40 ,  33.77 ,  51.38 ,  15.70 ,  6.56 ,  30.85 ,  -   ,  -   ,  4.83 
E14001517,Stockport,North West,12.54535871,  48.55 ,  6.04 ,  16.32 ,  13.91 ,  -   ,  -   ,  2.63 ,  9.26 ,  37.83 ,  1.96 ,  7.28 ,  7.10 ,  -   ,  -   ,  0.63 ,  16.40 ,  58.79 ,  13.25 ,  29.76 ,  22.28 ,  -   ,  -   ,  6.99 
E14001518,Stockton North,North East,20.61649913,  52.84 ,  5.16 ,  1.35 ,  20.04 ,  -   ,  -   ,  -   ,  15.74 ,  44.68 ,  1.70 ,  0.15 ,  11.61 ,  -   ,  -   ,  -   ,  25.97 ,  60.92 ,  10.12 ,  4.24 ,  29.49 ,  -   ,  -   ,  -   
E14001519,Stockton West,North East,28.23717824,  52.36 ,  2.88 ,  0.48 ,  13.56 ,  -   ,  -   ,  2.48 ,  21.94 ,  43.73 ,  0.73 ,  0.04 ,  7.04 ,  -   ,  -   ,  0.45 ,  34.65 ,  61.04 ,  7.25 ,  1.97 ,  22.58 ,  -   ,  -   ,  7.55 
E14001520,Stoke-on-Trent Central,West Midlands,21.16075777,  49.50 ,  1.93 ,  3.05 ,  21.08 ,  -   ,  -   ,  3.28 ,  16.31 ,  41.25 ,  0.41 ,  0.47 ,  13.00 ,  -   ,  -   ,  0.77 ,  26.44 ,  57.91 ,  5.25 ,  8.39 ,  29.99 ,  -   ,  -   ,  8.46 
E14001521,Stoke-on-Trent North,West Midlands,23.7533405,  49.03 ,  4.26 ,  3.13 ,  16.36 ,  -   ,  -   ,  3.46 ,  18.35 ,  39.82 ,  1.25 ,  0.62 ,  8.59 ,  -   ,  -   ,  0.76 ,  29.86 ,  57.66 ,  9.55 ,  8.45 ,  25.52 ,  -   ,  -   ,  9.56 
E14001522,Stoke-on-Trent South,West Midlands,26.02234635,  40.04 ,  3.01 ,  4.05 ,  25.02 ,  -   ,  -   ,  1.86 ,  19.39 ,  32.18 ,  0.74 ,  1.19 ,  14.40 ,  -   ,  -   ,  0.40 ,  33.54 ,  47.86 ,  8.08 ,  9.28 ,  36.41 ,  -   ,  -   ,  5.39 
E14001523,"Stone, Great Wyrley and Penkridge",West Midlands,41.17790204,  50.90 ,  3.91 ,  2.83 ,  -   ,  -   ,  -   ,  1.18 ,  33.85 ,  42.13 ,  0.96 ,  0.34 ,  -   ,  -   ,  -   ,  0.22 ,  48.96 ,  60.04 ,  9.54 ,  8.68 ,  -   ,  -   ,  -   ,  3.61 
E14001524,Stourbridge,West Midlands,28.04809431,  39.79 ,  6.75 ,  4.12 ,  19.42 ,  -   ,  -   ,  1.87 ,  22.24 ,  31.17 ,  2.26 ,  0.73 ,  10.30 ,  -   ,  -   ,  0.37 ,  34.63 ,  48.24 ,  14.14 ,  11.68 ,  29.34 ,  -   ,  -   ,  5.05 
E14001525,Stratford and Bow,London,9.227097086,  58.58 ,  5.85 ,  7.53 ,  9.10 ,  -   ,  -   ,  9.72 ,  6.91 ,  47.65 ,  2.22 ,  2.44 ,  4.70 ,  -   ,  -   ,  3.54 ,  12.05 ,  68.04 ,  11.50 ,  14.76 ,  15.54 ,  -   ,  -   ,  18.33 
E14001526,Stratford-on-Avon,West Midlands,29.14477684,  18.74 ,  34.08 ,  4.70 ,  12.52 ,  -   ,  -   ,  0.81 ,  20.82 ,  11.67 ,  19.58 ,  0.92 ,  5.56 ,  -   ,  -   ,  0.12 ,  38.02 ,  27.88 ,  50.95 ,  12.09 ,  22.55 ,  -   ,  -   ,  2.70 
E14001527,Streatham and Croydon North,London,10.63857585,  45.99 ,  14.67 ,  16.08 ,  8.13 ,  -   ,  -   ,  4.50 ,  8.11 ,  34.28 ,  5.68 ,  6.55 ,  3.41 ,  -   ,  -   ,  1.14 ,  13.54 ,  57.94 ,  25.45 ,  30.33 ,  15.30 ,  -   ,  -   ,  10.98 
E14001528,Stretford and Urmston,North West,13.66948282,  63.15 ,  3.15 ,  4.34 ,  10.41 ,  -   ,  -   ,  5.27 ,  10.30 ,  53.94 ,  0.74 ,  0.91 ,  4.72 ,  -   ,  -   ,  1.40 ,  17.34 ,  71.93 ,  7.93 ,  10.93 ,  17.52 ,  -   ,  -   ,  12.37 
E14001529,Stroud,South West,26.71035547,  47.42 ,  1.49 ,  10.97 ,  11.54 ,  -   ,  -   ,  1.87 ,  20.55 ,  37.93 ,  0.26 ,  3.28 ,  5.25 ,  -   ,  -   ,  0.26 ,  33.23 ,  56.89 ,  4.61 ,  21.66 ,  19.36 ,  -   ,  -   ,  5.96 
E14001530,Suffolk Coastal,East of England,29.18166827,  36.80 ,  11.53 ,  7.00 ,  15.49 ,  -   ,  -   ,  -   ,  22.41 ,  27.73 ,  4.22 ,  1.66 ,  8.01 ,  -   ,  -   ,  -   ,  36.49 ,  46.41 ,  21.96 ,  15.83 ,  26.14 ,  -   ,  -   ,  -   
E14001531,Sunderland Central,North East,13.827407,  47.36 ,  3.60 ,  3.54 ,  31.67 ,  -   ,  -   ,  -   ,  9.62 ,  36.00 ,  0.93 ,  0.54 ,  20.11 ,  -   ,  -   ,  -   ,  18.84 ,  57.59 ,  8.70 ,  11.44 ,  45.64 ,  -   ,  -   ,  -   
E14001532,Surrey Heath,South East,33.84253685,  15.85 ,  37.21 ,  3.97 ,  8.32 ,  -   ,  -   ,  0.81 ,  28.43 ,  11.75 ,  30.19 ,  1.39 ,  4.73 ,  -   ,  -   ,  0.17 ,  39.50 ,  20.57 ,  45.43 ,  8.17 ,  13.13 ,  -   ,  -   ,  2.05 
E14001533,Sussex Weald,South East,29.40112215,  31.42 ,  18.00 ,  5.52 ,  14.55 ,  -   ,  -   ,  1.12 ,  22.44 ,  23.09 ,  7.59 ,  1.53 ,  7.47 ,  -   ,  -   ,  0.18 ,  36.25 ,  40.66 ,  30.53 ,  12.70 ,  24.16 ,  -   ,  -   ,  3.25 
E14001534,Sutton and Cheam,London,26.37495577,  23.83 ,  26.63 ,  7.26 ,  14.04 ,  -   ,  -   ,  1.85 ,  20.59 ,  16.17 ,  14.93 ,  2.04 ,  7.28 ,  -   ,  -   ,  0.35 ,  32.65 ,  32.51 ,  39.58 ,  16.68 ,  22.69 ,  -   ,  -   ,  5.11 
E14001535,Sutton Coldfield,West Midlands,26.31255051,  38.72 ,  5.42 ,  3.98 ,  24.14 ,  -   ,  -   ,  1.42 ,  19.25 ,  29.54 ,  1.35 ,  0.76 ,  13.99 ,  -   ,  -   ,  0.23 ,  33.01 ,  48.88 ,  12.52 ,  10.14 ,  35.61 ,  -   ,  -   ,  4.21 
E14001536,Swindon North,South West,31.82629492,  40.02 ,  4.73 ,  2.81 ,  18.28 ,  -   ,  -   ,  2.34 ,  24.19 ,  30.58 ,  1.18 ,  0.36 ,  8.68 ,  -   ,  -   ,  0.55 ,  39.99 ,  48.89 ,  11.52 ,  8.64 ,  30.68 ,  -   ,  -   ,  6.25 
E14001537,Swindon South,South West,26.50670823,  48.67 ,  6.75 ,  2.51 ,  13.06 ,  -   ,  -   ,  2.50 ,  20.97 ,  40.67 ,  1.91 ,  0.35 ,  6.68 ,  -   ,  -   ,  0.52 ,  32.05 ,  56.94 ,  14.81 ,  7.75 ,  21.53 ,  -   ,  -   ,  6.65 
E14001538,Tamworth,West Midlands,33.08931776,  35.41 ,  2.40 ,  2.41 ,  25.44 ,  -   ,  -   ,  1.25 ,  25.16 ,  26.95 ,  0.61 ,  0.24 ,  14.45 ,  -   ,  -   ,  0.21 ,  40.57 ,  44.44 ,  6.15 ,  7.56 ,  39.97 ,  -   ,  -   ,  3.82 
E14001539,Tatton,North West,33.9337938,  39.09 ,  6.13 ,  5.97 ,  14.87 ,  -   ,  -   ,  -   ,  27.03 ,  30.03 ,  1.95 ,  1.56 ,  7.58 ,  -   ,  -   ,  -   ,  41.08 ,  48.23 ,  13.19 ,  14.24 ,  24.96 ,  -   ,  -   ,  -   
E14001540,Taunton and Wellington,South West,19.8829143,  10.89 ,  50.27 ,  0.32 ,  17.45 ,  -   ,  -   ,  1.19 ,  13.73 ,  6.52 ,  38.20 ,  0.03 ,  9.58 ,  -   ,  -   ,  0.22 ,  26.72 ,  16.80 ,  62.77 ,  1.25 ,  26.38 ,  -   ,  -   ,  3.63 
E14001541,Telford,West Midlands,25.9082985,  45.68 ,  5.25 ,  0.99 ,  22.17 ,  -   ,  -   ,  -   ,  19.53 ,  37.13 ,  1.72 ,  0.10 ,  12.71 ,  -   ,  -   ,  -   ,  32.75 ,  54.60 ,  11.40 ,  3.77 ,  33.56 ,  -   ,  -   ,  -   
E14001542,Tewkesbury,South West,27.9970149,  20.82 ,  29.04 ,  11.30 ,  10.04 ,  -   ,  -   ,  0.80 ,  21.19 ,  13.15 ,  15.58 ,  3.30 ,  4.32 ,  -   ,  -   ,  0.17 ,  35.57 ,  28.91 ,  43.35 ,  24.88 ,  17.97 ,  -   ,  -   ,  2.51 
E14001543,The Wrekin,West Midlands,30.74155508,  38.68 ,  4.97 ,  8.26 ,  16.13 ,  -   ,  -   ,  1.21 ,  23.72 ,  30.09 ,  1.35 ,  2.22 ,  7.67 ,  -   ,  -   ,  0.20 ,  37.95 ,  48.39 ,  11.34 ,  18.90 ,  28.67 ,  -   ,  -   ,  4.19 
E14001544,Thirsk and Malton,Yorkshire and The Humber,32.3959728,  31.91 ,  10.43 ,  7.16 ,  15.38 ,  -   ,  -   ,  2.71 ,  24.43 ,  23.52 ,  3.45 ,  1.57 ,  7.27 ,  -   ,  -   ,  0.51 ,  40.65 ,  42.34 ,  20.68 ,  19.27 ,  26.23 ,  -   ,  -   ,  7.86 
