Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,Conv,Labv,LDv,Grnv,Brxv,SNPv,PCv,APNIv,DUPv,SDLPv,SFv,UUPv,TotOthv,MaxOthv,ADVv,AGSv,ANWPv,AONTv,ASHv,BNPv,BPIv,BSJPv,CFv,CHPv,CMEPv,CMUv,CMUKv,COMLv,CPv,CPAv,CVPv,EDv,GWLDv,HWDIv,INETv,JACv,LBTv,LIBv,LNINv,LUTNv,MKv,MRLPv,MTHRv,NEPv,PATRv,PBPv,PFPv,POSv,PPNVv,RBDv,RENv,SDPv,SEPv,SFPv,SHRPv,SLPv,SNAVv,SOCv,TCRPv,TIGv,TLWv,UGPv,UKIPv,VPPv,WEPv,WRPv,WYv,YESHv,YPPv,YRKSv,IND1v,IND2v,IND3v,IND4v,IND5v,IND6v,blank2,total_votes,majority,maj%,Win19,Second19,CON%,LAB%,LD%,GRN%,BRX%,SNP%,PC%,APNI%,DUP%,SDLP%,SF%,UUP%,Tot oths%,Max oths%
Banbury,Banbury,E14001072,27,SE,England,County,55.2,72.6,69943,26397,12598,10335,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50810,13799,27.16,Con,Lab,51.95,24.79,20.34,2.91,0.00,0.00,0.00,,,,,,0.00,0.00
Bangor Aberconwy,Bangor Aberconwy,W07000083,28,WA,Wales,County,57.1,68.7,70468,19355,18606,2142,0,455,0,7849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,48407,749,1.55,Con,Lab,39.98,38.44,4.42,0.00,0.94,0.00,16.21,,,,,,0.00,0.00
Barking,Barking,E14001073,29,GL,England,Borough,8.7,57.1,71822,11003,24996,1356,750,2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41019,13993,34.11,Lab,Con,26.82,60.94,3.31,1.83,7.10,0.00,0.00,,,,,,0.00,0.00
Barnsley North,Barnsley North,E14001074,30,YH,England,County,38.6,57.9,76794,10663,17141,1588,1051,13139,0,0,0,0,0,0,0,898,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,188,0,0,0,0,0,,44480,4002,8.9973,Lab,Brexit,23.97,38.54,3.57,2.36,29.54,0.00,0.00,,,,,,2.02,1.60
Barnsley South,Barnsley South,E14001075,31,YH,England,County,61.4,49.4,75896,8497,15684,1311,773,10964,0,0,0,0,0,0,0,279,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,,"37,508","4,720",12.5840,Lab,Brexit,22.65,41.82,3.50,2.06,29.23,0.00,0.00,,,,,,0.74,0.74
Barrow and Furness,Barrow & Furness,E14001076,32,NW,England,County,11.5,65.3,76603,26551,19115,2256,770,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50047,7436,14.86,Con,Lab,53.05,38.19,4.51,1.54,2.71,0.00,0.00,,,,,,0.00,0.00
Basildon and Billericay,Basildon & Billericay,E14001077,33,EE,England,Borough,9.7,60.9,76993,30867,10118,3947,1395,0,0,0,0,0,0,0,0,526,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,,46853,20749,44.29,Con,Lab,65.88,21.60,8.42,2.98,0.00,0.00,0.00,,,,,,1.12,0.64
South Basildon and East Thurrock,Basildon South & East Thurrock,E14001480,34,EE,England,County,20.7,61.0,73322,29271,10540,1836,68,0,0,0,0,0,0,0,0,3014,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3014,0,0,0,0,0,,44729,18731,41.88,Con,Lab,65.44,23.56,4.10,0.15,0.00,0.00,0.00,,,,,,6.74,6.74
Basingstoke,Basingstoke,E14001078,35,SE,England,Borough,21.1,66.4,77050,26966,14665,6797,2007,0,0,0,0,0,0,0,0,746,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,,51181,12301,24.03,Con,Lab,52.69,28.65,13.28,3.92,0.00,0.00,0.00,,,,,,1.46,1.46
Bassetlaw,Bassetlaw,E14001079,36,EM,England,County,4.3,62.9,75773,25941,13353,3210,0,5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47677,12588,26.40,Con,Lab,54.41,28.01,6.73,0.00,10.85,0.00,0.00,,,,,,0.00,0.00
