pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001500,Southampton Test,South East,England,17.96%,13.43%,22.53%,53.84%,44.64%,62.21%,6.02%,2.58%,12.28%,12.13%,7.06%,19.48%,7.73%,3.51%,14.36%,1.43%,0.85%,2.39%,NA,NA,NA,NA,NA,NA, strong lab
E14001501,Southend East and Rochford,Eastern,England,29.93%,22.48%,36.92%,45.28%,36.36%,54.47%,4.18%,1.52%,9.45%,14.40%,7.69%,23.77%,4.56%,1.82%,10.22%,0.56%,0.32%,0.88%,NA,NA,NA,NA,NA,NA, likely lab
E14001502,Southend West and Leigh,Eastern,England,32.21%,24.91%,39.40%,43.56%,35.76%,51.55%,5.56%,2.59%,11.07%,13.99%,7.76%,22.85%,3.17%,1.48%,7.32%,0.46%,0.26%,0.81%,NA,NA,NA,NA,NA,NA, likely lab
E14001503,Southgate and Wood Green,London,England,15.55%,11.55%,19.29%,52.45%,41.85%,61.60%,6.40%,2.93%,12.31%,10.02%,5.36%,16.65%,11.70%,6.32%,21.16%,2.52%,1.66%,3.86%,NA,NA,NA,NA,NA,NA, strong lab
E14001504,Southport,North West,England,26.82%,20.67%,32.57%,49.17%,41.05%,57.43%,7.83%,4.03%,14.63%,11.66%,6.51%,18.25%,3.31%,1.48%,7.08%,0.50%,0.30%,0.87%,NA,NA,NA,NA,NA,NA, strong lab
E14001505,Spelthorne,South East,England,30.70%,23.10%,37.90%,30.27%,21.61%,39.36%,16.73%,8.67%,28.30%,15.80%,8.39%,26.88%,4.46%,1.97%,8.98%,0.70%,0.42%,1.19%,NA,NA,NA,NA,NA,NA, toss up
E14001506,Spen Valley,Yorkshire and The Humber,England,27.07%,20.56%,33.46%,48.05%,38.17%,57.56%,4.36%,1.57%,10.69%,13.60%,7.21%,22.46%,5.14%,2.16%,11.11%,0.57%,0.31%,0.97%,NA,NA,NA,NA,NA,NA, strong lab
E14001507,St Albans,Eastern,England,16.77%,11.57%,22.42%,14.95%,8.77%,24.08%,55.80%,43.18%,67.91%,7.24%,3.40%,14.10%,3.64%,1.38%,8.09%,0.58%,0.28%,1.13%,NA,NA,NA,NA,NA,NA, strong ld
E14001508,St Austell and Newquay,South West,England,31.99%,25.53%,39.27%,39.65%,31.23%,47.59%,8.31%,3.73%,16.18%,13.87%,7.94%,22.48%,4.86%,2.24%,8.94%,0.34%,0.17%,0.63%,NA,NA,NA,NA,NA,NA, lean lab
E14001509,St Helens North,North West,England,15.84%,11.47%,20.71%,57.39%,47.75%,66.01%,5.62%,2.21%,13.21%,11.94%,6.63%,19.19%,7.10%,3.21%,13.28%,0.77%,0.44%,1.41%,NA,NA,NA,NA,NA,NA, strong lab
E14001510,St Helens South and Whiston,North West,England,10.54%,7.06%,14.80%,61.74%,51.86%,70.37%,3.47%,1.24%,8.37%,13.72%,7.71%,21.99%,8.42%,3.82%,16.88%,0.88%,0.44%,1.68%,NA,NA,NA,NA,NA,NA, strong lab
E14001511,St Ives,South West,England,26.76%,20.06%,33.59%,16.76%,11.09%,24.19%,40.05%,29.66%,50.70%,10.64%,5.65%,17.70%,4.65%,2.10%,9.80%,0.27%,0.13%,0.53%,NA,NA,NA,NA,NA,NA, likely ld
E14001512,St Neots and Mid Cambridgeshire,Eastern,England,29.71%,23.20%,36.63%,31.81%,22.42%,41.75%,21.65%,13.08%,32.83%,10.38%,4.94%,18.43%,5.10%,2.21%,10.21%,0.36%,0.21%,0.63%,NA,NA,NA,NA,NA,NA, toss up
E14001513,Stafford,West Midlands,England,28.87%,21.91%,35.98%,44.71%,36.90%,53.33%,4.01%,1.62%,8.95%,16.41%,9.50%,25.55%,4.76%,2.09%,9.48%,0.43%,0.25%,0.71%,NA,NA,NA,NA,NA,NA, likely lab
E14001514,Staffordshire Moorlands,West Midlands,England,34.86%,26.83%,42.88%,37.90%,30.95%,45.64%,4.99%,2.22%,11.10%,17.66%,10.06%,27.85%,3.57%,1.66%,7.52%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001515,Stalybridge and Hyde,North West,England,19.10%,14.12%,24.75%,58.73%,50.82%,67.24%,2.59%,1.02%,6.03%,13.18%,7.41%,20.62%,4.47%,1.85%,9.11%,0.69%,0.38%,1.21%,NA,NA,NA,NA,NA,NA, strong lab
E14001516,Stevenage,Eastern,England,26.63%,20.19%,32.42%,50.37%,41.69%,60.03%,6.12%,2.60%,12.69%,10.66%,5.81%,18.27%,4.55%,1.91%,9.28%,0.71%,0.41%,1.22%,NA,NA,NA,NA,NA,NA, strong lab
E14001517,Stockport,North West,England,13.29%,9.33%,17.27%,61.53%,53.16%,69.46%,6.06%,2.61%,11.58%,9.90%,5.44%,16.03%,7.20%,3.40%,13.10%,1.22%,0.75%,1.97%,NA,NA,NA,NA,NA,NA, strong lab
E14001518,Stockton North,North East,England,18.94%,13.27%,24.97%,57.89%,49.43%,67.65%,2.65%,1.05%,6.58%,15.87%,8.69%,24.70%,3.80%,1.39%,8.73%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001519,Stockton West,North East,England,29.34%,22.25%,36.67%,45.84%,37.32%,54.82%,5.22%,2.12%,11.98%,16.00%,9.04%,25.10%,2.24%,0.83%,5.34%,0.32%,0.18%,0.61%,NA,NA,NA,NA,NA,NA, likely lab
E14001520,Stoke-on-Trent Central,West Midlands,England,23.31%,16.80%,29.73%,51.17%,42.38%,59.43%,3.38%,1.21%,8.58%,16.03%,8.72%,26.54%,4.04%,1.75%,8.56%,1.02%,0.58%,1.68%,NA,NA,NA,NA,NA,NA, strong lab
E14001521,Stoke-on-Trent North,West Midlands,England,30.74%,23.35%,38.12%,48.09%,40.35%,57.40%,2.50%,0.87%,6.09%,14.73%,8.06%,23.33%,2.51%,0.99%,5.21%,0.56%,0.31%,0.96%,NA,NA,NA,NA,NA,NA, likely lab
E14001522,Stoke-on-Trent South,West Midlands,England,33.85%,26.10%,41.09%,42.25%,34.87%,50.20%,3.13%,1.21%,7.08%,16.69%,9.55%,27.02%,2.63%,1.03%,5.82%,0.41%,0.24%,0.72%,NA,NA,NA,NA,NA,NA, lean lab
E14001523,"Stone, Great Wyrley and Penkridge",West Midlands,England,49.61%,42.34%,57.03%,37.24%,29.17%,46.15%,7.15%,2.96%,14.33%,NA,NA,NA,4.76%,2.32%,9.28%,0.41%,0.23%,0.69%,NA,NA,NA,NA,NA,NA, likely con
E14001524,Stourbridge,West Midlands,England,33.35%,25.55%,41.14%,43.45%,35.74%,52.20%,3.57%,1.56%,7.89%,15.47%,8.20%,25.79%,2.51%,1.06%,5.70%,0.53%,0.31%,0.91%,NA,NA,NA,NA,NA,NA, likely lab
E14001525,Stratford and Bow,London,England,9.63%,7.38%,12.45%,59.31%,49.78%,67.51%,7.27%,3.67%,13.43%,5.13%,2.69%,8.91%,14.25%,8.47%,22.20%,3.65%,2.19%,5.48%,NA,NA,NA,NA,NA,NA, strong lab
E14001526,Stratford-on-Avon,West Midlands,England,35.67%,27.66%,43.60%,17.59%,11.40%,24.86%,23.12%,14.63%,33.52%,18.71%,11.41%,28.74%,3.61%,1.61%,7.21%,0.36%,0.20%,0.62%,NA,NA,NA,NA,NA,NA, likely con
E14001527,Streatham and Croydon North,London,England,11.82%,8.93%,15.15%,64.66%,56.40%,72.96%,7.50%,3.88%,13.02%,4.11%,2.19%,7.69%,8.53%,4.37%,14.92%,2.53%,1.63%,3.78%,NA,NA,NA,NA,NA,NA, strong lab
E14001528,Stretford and Urmston,North West,England,15.21%,11.63%,19.12%,59.68%,50.89%,67.88%,5.73%,2.29%,11.30%,7.51%,3.98%,12.87%,9.27%,4.61%,16.44%,1.65%,1.03%,2.61%,NA,NA,NA,NA,NA,NA, strong lab
E14001529,Stroud,South West,England,20.64%,14.72%,26.62%,52.20%,43.83%,60.26%,6.00%,2.63%,11.65%,13.76%,6.92%,22.52%,6.21%,2.68%,10.83%,0.37%,0.21%,0.68%,NA,NA,NA,NA,NA,NA, strong lab
E14001530,Suffolk Coastal,Eastern,England,33.92%,26.94%,40.80%,32.21%,24.42%,41.19%,11.70%,6.30%,20.25%,12.97%,6.48%,21.55%,8.03%,4.22%,14.49%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001531,Sunderland Central,North East,England,17.76%,12.31%,23.39%,51.24%,41.98%,59.44%,5.67%,2.36%,11.92%,17.49%,10.32%,26.30%,7.01%,3.14%,14.02%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
