pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001090,Bicester and Woodstock,South East,England,33.71%,26.60%,40.43%,30.12%,21.27%,40.72%,21.67%,12.13%,32.18%,9.12%,4.60%,16.40%,4.11%,1.69%,8.47%,0.36%,0.21%,0.59%,NA,NA,NA,NA,NA,NA, toss up
E14001091,Birkenhead,North West,England,7.96%,5.43%,10.96%,66.24%,54.84%,74.62%,3.08%,1.06%,7.17%,9.44%,5.14%,16.37%,11.44%,5.50%,21.30%,1.11%,0.59%,1.95%,NA,NA,NA,NA,NA,NA, strong lab
E14001092,Birmingham Edgbaston,West Midlands,England,20.70%,15.85%,25.89%,49.72%,40.78%,56.98%,6.33%,3.11%,11.38%,11.42%,6.82%,18.47%,8.63%,4.36%,14.71%,2.47%,1.48%,4.21%,NA,NA,NA,NA,NA,NA, strong lab
E14001093,Birmingham Erdington,West Midlands,England,22.56%,17.05%,28.41%,53.35%,45.25%,61.41%,4.79%,1.88%,10.17%,12.74%,7.15%,20.54%,3.73%,1.56%,7.53%,1.78%,1.00%,3.02%,NA,NA,NA,NA,NA,NA, strong lab
E14001094,Birmingham Hall Green and Moseley,West Midlands,England,11.38%,8.37%,14.81%,63.29%,54.75%,71.25%,6.71%,3.08%,12.12%,7.19%,3.97%,11.80%,6.87%,3.41%,12.79%,3.76%,2.16%,6.21%,NA,NA,NA,NA,NA,NA, strong lab
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,England,16.40%,12.13%,20.48%,60.75%,51.23%,68.69%,3.56%,1.24%,8.48%,10.88%,5.93%,17.61%,5.56%,2.18%,11.71%,2.15%,1.19%,3.89%,NA,NA,NA,NA,NA,NA, strong lab
E14001096,Birmingham Ladywood,West Midlands,England,7.04%,4.84%,9.89%,68.73%,57.92%,77.81%,3.80%,1.44%,8.82%,3.53%,1.68%,6.46%,11.96%,5.44%,21.08%,4.23%,2.32%,7.96%,NA,NA,NA,NA,NA,NA, strong lab
E14001097,Birmingham Northfield,West Midlands,England,22.99%,16.98%,28.73%,53.19%,45.17%,60.89%,3.88%,1.70%,8.08%,14.40%,7.93%,22.93%,3.68%,1.55%,8.02%,0.96%,0.57%,1.63%,NA,NA,NA,NA,NA,NA, strong lab
E14001098,Birmingham Perry Barr,West Midlands,England,13.31%,10.13%,17.11%,63.03%,51.70%,71.66%,4.45%,1.52%,11.24%,5.89%,2.91%,10.60%,8.79%,3.93%,17.60%,3.35%,1.89%,5.78%,NA,NA,NA,NA,NA,NA, strong lab
E14001099,Birmingham Selly Oak,West Midlands,England,16.69%,12.07%,21.66%,60.35%,51.24%,69.15%,4.84%,1.72%,10.79%,8.29%,4.08%,14.99%,7.00%,3.05%,13.31%,1.87%,1.13%,3.16%,NA,NA,NA,NA,NA,NA, strong lab
E14001100,Birmingham Yardley,West Midlands,England,16.74%,12.42%,21.20%,58.69%,48.20%,67.56%,8.34%,3.53%,17.27%,7.92%,4.21%,13.89%,4.85%,1.78%,10.88%,2.43%,1.40%,4.01%,NA,NA,NA,NA,NA,NA, strong lab
E14001101,Bishop Auckland,North East,England,27.33%,20.00%,35.57%,45.15%,37.29%,54.34%,4.45%,1.81%,9.93%,18.33%,10.38%,28.56%,3.01%,1.18%,7.15%,0.37%,0.20%,0.68%,NA,NA,NA,NA,NA,NA, likely lab
E14001102,Blackburn,North West,England,15.03%,11.55%,19.28%,60.06%,50.12%,68.32%,3.69%,1.41%,8.48%,10.21%,5.77%,16.46%,7.20%,3.21%,14.81%,2.98%,1.76%,5.08%,NA,NA,NA,NA,NA,NA, strong lab
E14001103,Blackley and Middleton South,North West,England,15.69%,11.86%,19.97%,63.45%,54.85%,71.34%,3.12%,1.14%,6.85%,9.45%,5.10%,15.07%,7.38%,3.60%,13.58%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001104,Blackpool North and Fleetwood,North West,England,29.71%,23.45%,35.85%,50.95%,43.42%,58.66%,2.99%,1.22%,6.24%,12.49%,6.66%,20.29%,2.82%,1.18%,5.92%,0.40%,0.22%,0.72%,NA,NA,NA,NA,NA,NA, strong lab
E14001105,Blackpool South,North West,England,23.59%,17.06%,30.06%,48.51%,40.17%,55.93%,2.89%,1.12%,6.81%,19.47%,11.83%,29.45%,4.00%,1.78%,8.27%,0.78%,0.47%,1.24%,NA,NA,NA,NA,NA,NA, strong lab
E14001106,Blaydon and Consett,North East,England,16.72%,11.53%,22.46%,52.60%,44.57%,61.33%,4.27%,1.80%,9.49%,20.16%,12.15%,29.59%,4.81%,2.27%,9.85%,0.42%,0.20%,0.81%,NA,NA,NA,NA,NA,NA, strong lab
E14001107,Blyth and Ashington,North East,England,15.97%,11.13%,21.15%,57.61%,49.86%,65.39%,2.71%,0.90%,5.87%,18.64%,11.95%,27.09%,4.34%,1.74%,9.01%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001108,Bognor Regis and Littlehampton,South East,England,33.43%,26.01%,40.36%,36.49%,28.78%,44.66%,7.62%,3.64%,14.62%,17.28%,9.45%,27.01%,4.15%,1.92%,8.24%,0.33%,0.19%,0.54%,NA,NA,NA,NA,NA,NA, toss up
E14001109,Bolsover,East Midlands,England,28.14%,21.01%,35.31%,46.53%,38.15%,55.40%,3.26%,1.10%,7.24%,16.82%,9.72%,25.98%,4.26%,1.63%,9.16%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
E14001110,Bolton North East,North West,England,24.96%,19.02%,30.94%,52.47%,44.00%,61.20%,3.42%,1.30%,7.77%,12.60%,6.93%,21.17%,4.31%,1.81%,9.48%,1.10%,0.67%,1.77%,NA,NA,NA,NA,NA,NA, strong lab
E14001111,Bolton South and Walkden,North West,England,15.75%,11.47%,20.15%,65.37%,57.14%,73.38%,3.11%,1.15%,7.26%,8.62%,4.47%,14.45%,4.97%,2.18%,10.48%,1.27%,0.70%,2.11%,NA,NA,NA,NA,NA,NA, strong lab
E14001112,Bolton West,North West,England,30.19%,23.53%,36.78%,45.37%,37.43%,53.83%,4.93%,2.00%,10.50%,13.21%,6.99%,21.75%,4.53%,2.18%,9.88%,0.70%,0.43%,1.12%,NA,NA,NA,NA,NA,NA, likely lab
E14001113,Bootle,North West,England,5.50%,3.65%,8.09%,71.53%,61.15%,80.53%,2.85%,0.97%,7.28%,6.67%,3.16%,12.42%,10.96%,4.94%,21.06%,1.16%,0.49%,2.29%,NA,NA,NA,NA,NA,NA, strong lab
E14001114,Boston and Skegness,East Midlands,England,33.95%,19.14%,49.77%,23.48%,14.49%,35.40%,4.85%,1.46%,13.05%,31.17%,16.52%,47.29%,3.56%,0.94%,10.27%,1.27%,0.50%,3.03%,NA,NA,NA,NA,NA,NA, toss up
E14001115,Bournemouth East,South West,England,26.39%,20.53%,32.37%,42.19%,33.51%,50.76%,12.84%,6.77%,21.88%,11.10%,5.93%,18.51%,5.62%,2.59%,11.01%,0.82%,0.47%,1.36%,NA,NA,NA,NA,NA,NA, likely lab
E14001116,Bournemouth West,South West,England,26.81%,20.97%,32.79%,42.88%,33.27%,51.86%,8.72%,4.36%,16.14%,11.76%,6.11%,20.04%,7.98%,4.04%,14.60%,0.64%,0.39%,1.07%,NA,NA,NA,NA,NA,NA, likely lab
E14001117,Bracknell,South East,England,31.98%,26.03%,38.37%,43.53%,35.49%,52.68%,6.80%,2.95%,12.79%,11.16%,5.75%,19.59%,4.87%,2.20%,9.45%,0.61%,0.36%,1.02%,NA,NA,NA,NA,NA,NA, likely lab
E14001118,Bradford East,Yorkshire and The Humber,England,14.22%,10.29%,18.28%,55.71%,45.34%,64.41%,7.64%,3.68%,13.70%,8.43%,4.64%,14.01%,10.34%,4.82%,19.50%,2.75%,1.58%,4.64%,NA,NA,NA,NA,NA,NA, strong lab
E14001119,Bradford South,Yorkshire and The Humber,England,22.41%,16.90%,27.49%,51.28%,42.61%,59.75%,3.78%,1.41%,8.35%,14.19%,8.25%,22.33%,5.90%,2.82%,12.22%,1.29%,0.75%,2.22%,NA,NA,NA,NA,NA,NA, strong lab
E14001120,Bradford West,Yorkshire and The Humber,England,10.73%,7.83%,14.25%,64.21%,50.78%,74.46%,4.03%,1.56%,9.79%,4.71%,2.34%,8.84%,11.27%,5.25%,22.31%,3.88%,2.14%,7.21%,NA,NA,NA,NA,NA,NA, strong lab
E14001121,Braintree,Eastern,England,36.43%,28.65%,43.87%,29.92%,22.29%,38.46%,9.72%,4.92%,17.81%,19.27%,11.45%,30.31%,2.93%,1.16%,6.69%,0.34%,0.19%,0.56%,NA,NA,NA,NA,NA,NA, lean con
E14001122,Brent East,London,England,13.53%,10.13%,17.41%,62.48%,52.61%,70.88%,4.91%,2.08%,10.64%,6.66%,3.24%,12.03%,8.52%,4.11%,16.13%,2.79%,1.74%,4.36%,NA,NA,NA,NA,NA,NA, strong lab
E14001123,Brent West,London,England,21.36%,16.79%,25.75%,59.24%,51.66%,66.58%,4.04%,1.73%,8.51%,6.66%,3.43%,11.98%,5.35%,2.40%,10.33%,2.56%,1.66%,3.83%,NA,NA,NA,NA,NA,NA, strong lab
E14001124,Brentford and Isleworth,London,England,16.64%,12.96%,20.39%,57.89%,49.41%,65.08%,9.88%,5.28%,16.65%,6.65%,3.53%,11.38%,5.95%,2.68%,10.48%,2.45%,1.57%,3.82%,NA,NA,NA,NA,NA,NA, strong lab
E14001125,Brentwood and Ongar,Eastern,England,36.22%,27.48%,44.91%,25.82%,19.08%,34.34%,10.31%,5.48%,17.73%,19.91%,10.80%,30.27%,6.09%,3.18%,11.90%,0.48%,0.28%,0.79%,NA,NA,NA,NA,NA,NA, likely con
E14001126,Bridgwater,South West,England,32.23%,24.79%,39.60%,35.57%,27.29%,45.84%,16.73%,10.21%,26.11%,10.86%,5.40%,19.08%,3.07%,1.37%,6.35%,0.31%,0.17%,0.52%,NA,NA,NA,NA,NA,NA, toss up
E14001127,Bridlington and The Wolds,Yorkshire and The Humber,England,35.92%,27.11%,44.51%,33.22%,26.11%,41.81%,6.50%,3.07%,12.76%,19.06%,10.15%,31.44%,3.82%,1.60%,7.21%,0.40%,0.20%,0.80%,NA,NA,NA,NA,NA,NA, toss up
E14001128,Brigg and Immingham,Yorkshire and The Humber,England,38.49%,29.21%,46.30%,37.63%,29.36%,47.49%,5.64%,2.51%,12.20%,13.73%,6.82%,23.40%,3.40%,1.50%,7.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001129,Brighton Kemptown and Peacehaven,South East,England,21.84%,17.68%,26.42%,56.76%,45.93%,66.85%,5.42%,1.97%,11.58%,NA,NA,NA,13.89%,7.40%,24.57%,1.05%,0.61%,1.76%,NA,NA,NA,NA,NA,NA, strong lab
E14001130,Brighton Pavilion,South East,England,3.75%,0.86%,10.11%,50.96%,36.77%,65.55%,2.58%,0.52%,8.11%,4.46%,0.85%,11.60%,34.26%,22.58%,47.78%,1.87%,0.64%,4.68%,NA,NA,NA,NA,NA,NA, likely lab
E14001131,Bristol Central,South West,England,3.82%,1.48%,8.14%,40.52%,26.20%,54.99%,1.20%,0.25%,4.60%,3.89%,1.09%,9.18%,46.38%,31.07%,61.39%,3.18%,1.24%,7.24%,NA,NA,NA,NA,NA,NA, lean grn
E14001132,Bristol East,South West,England,13.31%,9.80%,17.08%,65.52%,56.17%,73.65%,5.29%,2.03%,10.69%,NA,NA,NA,13.52%,7.57%,21.79%,1.82%,1.08%,3.07%,NA,NA,NA,NA,NA,NA, strong lab
E14001133,Bristol North East,South West,England,19.65%,14.86%,24.94%,54.23%,45.92%,61.75%,5.64%,2.19%,11.37%,10.08%,5.69%,17.03%,8.72%,4.61%,15.02%,0.83%,0.50%,1.42%,NA,NA,NA,NA,NA,NA, strong lab
E14001134,Bristol North West,South West,England,16.77%,12.33%,21.46%,57.10%,48.78%,66.09%,4.72%,2.01%,9.74%,8.13%,4.06%,15.33%,11.31%,6.61%,17.61%,0.77%,0.46%,1.35%,NA,NA,NA,NA,NA,NA, strong lab
E14001135,Bristol South,South West,England,15.82%,11.86%,20.06%,57.18%,46.64%,66.39%,5.13%,2.15%,9.95%,7.86%,3.73%,13.24%,12.35%,7.26%,21.37%,0.88%,0.51%,1.58%,NA,NA,NA,NA,NA,NA, strong lab
E14001136,Broadland and Fakenham,Eastern,England,33.12%,25.77%,40.45%,29.15%,21.79%,37.17%,14.74%,8.35%,23.65%,15.85%,8.88%,25.59%,5.92%,2.96%,11.61%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001137,Bromley and Biggin Hill,London,England,31.99%,25.04%,38.33%,42.01%,34.25%,50.56%,8.91%,4.62%,15.77%,11.91%,6.59%,20.05%,3.30%,1.40%,7.06%,0.95%,0.58%,1.48%,NA,NA,NA,NA,NA,NA, likely lab
E14001138,Bromsgrove,West Midlands,England,35.39%,28.04%,42.24%,39.88%,32.51%,49.01%,6.19%,2.91%,11.63%,13.81%,7.40%,22.90%,3.48%,1.60%,7.12%,0.30%,0.17%,0.53%,NA,NA,NA,NA,NA,NA, toss up
E14001139,Broxbourne,Eastern,England,35.17%,27.20%,42.51%,34.28%,26.27%,42.38%,6.34%,2.67%,11.98%,16.77%,9.39%,27.87%,5.76%,2.81%,11.54%,0.69%,0.39%,1.20%,NA,NA,NA,NA,NA,NA, toss up
E14001140,Broxtowe,East Midlands,England,22.57%,16.17%,28.73%,51.09%,41.87%,59.66%,3.17%,1.23%,7.53%,16.43%,8.93%,26.81%,5.24%,2.35%,10.08%,0.69%,0.44%,1.04%,NA,NA,NA,NA,NA,NA, strong lab
E14001141,Buckingham and Bletchley,South East,England,30.78%,24.30%,37.36%,41.55%,33.14%,49.91%,7.87%,3.77%,14.88%,11.73%,6.29%,19.56%,6.33%,3.08%,13.72%,0.63%,0.40%,1.00%,NA,NA,NA,NA,NA,NA, likely lab
E14001142,Burnley,North West,England,21.95%,16.54%,27.49%,52.64%,43.52%,61.48%,5.17%,2.15%,11.41%,14.37%,8.00%,22.82%,3.98%,1.62%,8.58%,0.98%,0.61%,1.49%,NA,NA,NA,NA,NA,NA, strong lab
E14001143,Burton and Uttoxeter,West Midlands,England,31.47%,23.99%,38.19%,42.40%,34.49%,50.50%,5.46%,2.34%,11.56%,15.99%,8.78%,26.78%,2.89%,1.18%,5.91%,0.53%,0.32%,0.90%,NA,NA,NA,NA,NA,NA, likely lab
E14001144,Bury North,North West,England,25.96%,20.16%,31.72%,54.52%,46.68%,61.93%,2.83%,1.12%,6.58%,10.72%,5.89%,18.05%,4.21%,2.01%,9.32%,0.84%,0.53%,1.32%,NA,NA,NA,NA,NA,NA, strong lab
E14001145,Bury South,North West,England,22.68%,16.75%,28.32%,51.79%,43.17%,60.31%,5.33%,2.13%,11.43%,13.65%,7.13%,22.55%,4.09%,1.81%,9.27%,1.15%,0.70%,1.91%,NA,NA,NA,NA,NA,NA, strong lab
E14001146,Bury St Edmunds and Stowmarket,Eastern,England,30.01%,22.53%,38.54%,31.10%,22.16%,39.64%,10.30%,4.98%,18.91%,15.69%,7.84%,26.07%,11.58%,6.04%,20.00%,0.34%,0.19%,0.62%,NA,NA,NA,NA,NA,NA, toss up
E14001147,Calder Valley,Yorkshire and The Humber,England,29.45%,23.42%,34.86%,53.79%,46.69%,61.27%,3.26%,1.34%,7.46%,9.10%,4.58%,15.45%,2.91%,1.15%,6.30%,0.53%,0.30%,0.89%,NA,NA,NA,NA,NA,NA, strong lab
E14001148,Camborne and Redruth,South West,England,27.48%,21.80%,32.90%,49.65%,41.98%,58.09%,6.19%,2.69%,11.70%,11.67%,6.32%,18.79%,3.82%,1.60%,7.87%,0.35%,0.20%,0.64%,NA,NA,NA,NA,NA,NA, strong lab
E14001149,Cambridge,Eastern,England,9.48%,6.65%,12.75%,57.83%,45.54%,69.11%,15.66%,8.28%,25.72%,NA,NA,NA,14.70%,7.44%,25.52%,1.56%,0.82%,2.77%,NA,NA,NA,NA,NA,NA, strong lab
E14001150,Cannock Chase,West Midlands,England,28.83%,20.82%,36.90%,45.70%,36.91%,55.66%,2.33%,0.80%,6.32%,17.86%,9.69%,28.95%,3.91%,1.64%,8.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
E14001151,Canterbury,South East,England,22.24%,17.27%,27.69%,56.00%,47.68%,63.15%,3.49%,1.33%,7.41%,11.20%,6.14%,18.07%,5.78%,2.53%,11.69%,0.66%,0.39%,1.04%,NA,NA,NA,NA,NA,NA, strong lab
E14001152,Carlisle,North West,England,28.61%,22.00%,35.51%,49.42%,42.52%,57.76%,4.18%,1.75%,8.92%,12.82%,6.67%,21.50%,3.45%,1.52%,6.96%,0.52%,0.30%,0.85%,NA,NA,NA,NA,NA,NA, strong lab
E14001153,Carshalton and Wallington,London,England,25.03%,18.76%,32.24%,23.25%,15.90%,33.37%,37.65%,25.31%,49.98%,9.16%,4.43%,16.11%,2.67%,1.00%,6.52%,1.04%,0.58%,1.69%,NA,NA,NA,NA,NA,NA, likely ld
E14001154,Castle Point,Eastern,England,38.64%,27.94%,48.40%,29.85%,22.37%,39.71%,5.06%,1.89%,11.68%,22.12%,12.24%,35.13%,2.81%,1.09%,7.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean con
E14001155,Central Devon,South West,England,31.19%,24.74%,38.27%,37.58%,29.77%,46.25%,12.00%,6.60%,19.05%,11.02%,5.40%,18.57%,6.97%,3.32%,12.82%,0.34%,0.17%,0.65%,NA,NA,NA,NA,NA,NA, lean lab
E14001156,Central Suffolk and North Ipswich,Eastern,England,32.46%,25.20%,40.23%,36.97%,28.14%,47.56%,7.91%,3.30%,16.49%,13.86%,6.96%,23.42%,6.79%,2.94%,13.07%,0.31%,0.18%,0.55%,NA,NA,NA,NA,NA,NA, toss up
E14001157,Chatham and Aylesford,South East,England,37.56%,29.84%,44.74%,38.03%,30.43%,45.48%,5.13%,2.25%,10.72%,14.44%,7.62%,23.44%,3.67%,1.74%,7.19%,0.42%,0.24%,0.71%,NA,NA,NA,NA,NA,NA, toss up
E14001158,Cheadle,North West,England,27.00%,20.54%,33.53%,20.28%,13.52%,28.35%,40.45%,30.12%,52.04%,8.59%,4.54%,15.42%,2.02%,0.80%,4.42%,0.70%,0.39%,1.26%,NA,NA,NA,NA,NA,NA, likely ld
E14001159,Chelmsford,Eastern,England,30.68%,23.04%,37.12%,26.84%,19.60%,35.24%,28.83%,19.22%,39.81%,9.35%,4.51%,16.96%,2.78%,1.10%,6.12%,0.53%,0.28%,0.91%,NA,NA,NA,NA,NA,NA, toss up
E14001160,Chelsea and Fulham,London,England,25.89%,18.94%,32.68%,42.88%,33.21%,52.67%,12.89%,5.99%,21.89%,9.90%,4.75%,18.62%,5.70%,2.57%,11.87%,1.59%,0.97%,2.54%,NA,NA,NA,NA,NA,NA, likely lab
E14001161,Cheltenham,South West,England,26.17%,17.84%,34.00%,11.11%,6.40%,17.49%,59.51%,48.14%,71.16%,NA,NA,NA,2.42%,1.01%,5.73%,0.41%,0.20%,0.75%,NA,NA,NA,NA,NA,NA, strong ld
E14001162,Chesham and Amersham,South East,England,34.67%,27.19%,41.59%,17.62%,11.11%,24.71%,33.10%,23.02%,46.41%,7.47%,3.51%,13.55%,5.39%,2.53%,10.72%,0.61%,0.35%,1.04%,NA,NA,NA,NA,NA,NA, toss up
E14001163,Chester North and Neston,North West,England,19.38%,14.55%,25.27%,60.60%,52.49%,68.07%,4.02%,1.71%,8.86%,10.29%,5.26%,17.65%,4.68%,1.92%,9.66%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001164,Chester South and Eddisbury,North West,England,35.39%,28.15%,42.65%,34.15%,26.24%,42.70%,13.30%,7.46%,21.57%,11.25%,5.82%,20.06%,4.31%,1.89%,9.10%,0.48%,0.26%,0.85%,NA,NA,NA,NA,NA,NA, toss up
E14001165,Chesterfield,East Midlands,England,22.12%,16.61%,27.46%,51.63%,42.81%,59.83%,4.75%,1.96%,9.90%,12.66%,6.90%,20.47%,7.79%,3.90%,14.37%,0.54%,0.31%,0.88%,NA,NA,NA,NA,NA,NA, strong lab
E14001166,Chichester,South East,England,28.38%,21.14%,36.31%,17.27%,11.83%,24.23%,36.15%,25.85%,48.42%,12.43%,6.65%,21.15%,4.33%,1.99%,8.76%,0.25%,0.15%,0.43%,NA,NA,NA,NA,NA,NA, lean ld
E14001167,Chingford and Woodford Green,London,England,36.17%,25.09%,46.17%,39.28%,27.93%,50.71%,2.19%,0.51%,7.67%,9.43%,3.78%,19.72%,4.67%,1.44%,12.15%,6.28%,3.06%,11.01%,NA,NA,NA,NA,NA,NA, toss up
E14001168,Chippenham,South West,England,32.38%,24.79%,39.94%,21.96%,14.75%,31.04%,27.84%,18.39%,40.21%,12.64%,7.02%,22.12%,3.38%,1.41%,7.31%,0.33%,0.19%,0.57%,NA,NA,NA,NA,NA,NA, toss up
E14001169,Chipping Barnet,London,England,28.49%,22.43%,33.77%,51.67%,43.95%,59.71%,5.22%,2.32%,9.76%,8.20%,3.94%,15.08%,4.08%,1.79%,8.22%,1.53%,0.98%,2.37%,NA,NA,NA,NA,NA,NA, strong lab
E14001170,Chorley,North West,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00%,100.00%,100.00%,NA,NA,NA,NA,NA,NA, strong oth
E14001171,Christchurch,South West,England,39.19%,31.09%,46.62%,26.56%,19.35%,34.42%,11.80%,6.02%,19.84%,16.13%,8.99%,25.71%,5.39%,2.47%,9.97%,0.27%,0.15%,0.46%,NA,NA,NA,NA,NA,NA, likely con
E14001172,Cities of London and Westminster,London,England,24.66%,18.78%,30.79%,38.98%,28.12%,49.95%,17.64%,9.46%,28.97%,5.91%,2.85%,11.26%,9.37%,4.52%,18.81%,1.67%,1.03%,2.72%,NA,NA,NA,NA,NA,NA, likely lab
E14001173,City of Durham,North East,England,15.33%,10.60%,20.84%,52.99%,44.13%,61.34%,8.15%,4.10%,14.58%,15.79%,9.20%,24.46%,6.01%,2.84%,11.48%,0.61%,0.33%,1.10%,NA,NA,NA,NA,NA,NA, strong lab
E14001174,Clacton,Eastern,England,16.44%,7.83%,27.80%,24.12%,14.79%,35.60%,2.44%,0.63%,7.64%,52.18%,37.00%,65.95%,3.27%,0.97%,8.06%,0.56%,0.24%,1.23%,NA,NA,NA,NA,NA,NA, strong ref
E14001175,Clapham and Brixton Hill,London,England,10.28%,7.57%,13.38%,64.57%,55.10%,72.52%,6.98%,3.54%,12.74%,5.31%,2.84%,9.42%,9.85%,5.18%,17.53%,2.28%,1.38%,3.69%,NA,NA,NA,NA,NA,NA, strong lab
E14001176,Colchester,Eastern,England,27.32%,21.26%,33.42%,37.63%,28.19%,46.33%,10.13%,5.44%,17.93%,13.35%,7.46%,21.02%,9.88%,5.09%,17.37%,0.61%,0.35%,1.06%,NA,NA,NA,NA,NA,NA, likely lab
E14001177,Colne Valley,Yorkshire and The Humber,England,28.84%,22.91%,35.65%,49.15%,40.92%,57.54%,4.97%,2.19%,11.07%,10.73%,5.25%,18.40%,4.32%,1.97%,10.06%,0.50%,0.29%,0.84%,NA,NA,NA,NA,NA,NA, strong lab
E14001178,Congleton,North West,England,34.70%,27.91%,42.40%,39.89%,32.64%,48.77%,6.62%,2.87%,12.23%,13.24%,7.01%,22.40%,3.96%,1.79%,7.48%,0.41%,0.26%,0.69%,NA,NA,NA,NA,NA,NA, lean lab
E14001179,Corby and East Northamptonshire,East Midlands,England,26.74%,20.32%,33.40%,51.39%,43.28%,59.88%,2.26%,0.89%,5.34%,15.06%,8.32%,24.69%,3.32%,1.34%,7.50%,0.35%,0.20%,0.54%,NA,NA,NA,NA,NA,NA, strong lab
E14001180,Coventry East,West Midlands,England,19.98%,15.08%,25.65%,54.54%,45.37%,63.68%,5.26%,1.95%,12.09%,12.10%,6.66%,20.28%,5.20%,2.04%,10.85%,1.83%,1.04%,3.16%,NA,NA,NA,NA,NA,NA, strong lab
E14001181,Coventry North West,West Midlands,England,24.01%,18.12%,29.76%,46.35%,37.81%,53.87%,7.94%,3.84%,15.49%,13.79%,7.96%,21.94%,5.85%,2.79%,10.21%,1.14%,0.70%,1.89%,NA,NA,NA,NA,NA,NA, strong lab
E14001182,Coventry South,West Midlands,England,23.79%,18.77%,29.18%,49.93%,41.55%,57.68%,4.29%,1.79%,9.15%,10.97%,5.92%,17.75%,8.09%,3.70%,14.60%,1.91%,1.15%,3.16%,NA,NA,NA,NA,NA,NA, strong lab
E14001183,Cramlington and Killingworth,North East,England,18.90%,13.22%,24.91%,52.24%,44.67%,59.93%,2.60%,0.92%,6.24%,20.39%,13.38%,29.45%,4.52%,2.06%,9.73%,0.41%,0.22%,0.82%,NA,NA,NA,NA,NA,NA, strong lab
E14001184,Crawley,South East,England,26.52%,19.86%,32.98%,42.91%,34.47%,51.70%,5.69%,2.43%,12.28%,17.58%,10.75%,27.80%,5.20%,2.14%,11.01%,0.95%,0.59%,1.60%,NA,NA,NA,NA,NA,NA, likely lab
E14001185,Crewe and Nantwich,North West,England,23.45%,17.43%,29.62%,51.27%,43.00%,59.00%,3.02%,1.16%,6.99%,16.89%,10.29%,26.62%,3.87%,1.73%,8.31%,0.50%,0.29%,0.84%,NA,NA,NA,NA,NA,NA, strong lab
E14001186,Croydon East,London,England,24.45%,19.21%,30.01%,55.39%,46.11%,63.15%,4.52%,1.90%,10.19%,8.84%,4.05%,15.62%,5.83%,2.69%,13.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001187,Croydon South,London,England,35.16%,28.39%,42.89%,40.33%,31.74%,48.72%,6.37%,2.83%,13.13%,11.16%,5.75%,18.44%,4.65%,2.10%,10.03%,1.31%,0.80%,2.19%,NA,NA,NA,NA,NA,NA, lean lab
E14001188,Croydon West,London,England,11.78%,8.75%,14.87%,65.77%,57.21%,73.16%,4.16%,1.89%,8.78%,5.78%,3.09%,9.61%,9.07%,4.62%,16.61%,2.66%,1.73%,4.12%,NA,NA,NA,NA,NA,NA, strong lab
E14001189,Dagenham and Rainham,London,England,25.25%,18.81%,31.44%,48.85%,39.86%,57.33%,3.09%,1.10%,7.21%,14.67%,7.95%,23.68%,5.48%,2.37%,11.46%,1.80%,1.15%,2.92%,NA,NA,NA,NA,NA,NA, strong lab
E14001190,Darlington,North East,England,26.85%,20.75%,33.75%,53.48%,45.64%,61.84%,2.84%,1.08%,6.92%,11.65%,6.05%,20.08%,3.89%,1.69%,8.13%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001191,Dartford,South East,England,31.89%,24.46%,39.09%,45.49%,37.60%,54.03%,4.75%,2.01%,9.18%,13.39%,7.11%,22.16%,3.73%,1.59%,7.98%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
E14001192,Daventry,East Midlands,England,34.86%,27.57%,42.00%,27.10%,19.67%,35.10%,13.89%,8.06%,22.32%,17.28%,10.37%,26.34%,6.07%,2.94%,11.34%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean con
E14001193,Derby North,East Midlands,England,26.82%,20.83%,33.13%,50.35%,40.87%,59.12%,3.46%,1.33%,7.61%,11.39%,6.01%,18.44%,7.07%,3.27%,14.21%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001194,Derby South,East Midlands,England,19.11%,14.25%,24.84%,51.56%,42.71%,59.92%,3.54%,1.43%,7.84%,16.92%,10.30%,26.33%,5.98%,2.72%,12.88%,1.71%,1.09%,2.74%,NA,NA,NA,NA,NA,NA, strong lab
