Seat Name,Electorate,CON,LAB,LIB,Reform,Green,"SNP/Plaid",Indept.,Other
Brent West,"79,036.000000000",0.266200421,0.434244632,0.056389690,0.126889030,0.116276226,0.000000000,0.000000000,0.000000000
Brentford and Isleworth,"75,746.000000000",0.137594949,0.509637960,0.092335010,0.164861399,0.081878268,0.000000000,0.000000000,0.013692414
Brentwood and Ongar,"75,078.000000000",0.346711284,0.362379222,0.128623349,0.124390568,0.030781846,0.000000000,0.000000000,0.007113731
Bridgwater,"71,290.000000000",0.248615075,0.347910022,0.110479268,0.247964579,0.038211348,0.000000000,0.000000000,0.006819708
Bridlington and the Wolds,"72,681.000000000",0.284777273,0.271811133,0.058380210,0.282887735,0.056099733,0.000000000,0.000000000,0.046043915
Brigg and Immingham,"71,838.000000000",0.351314181,0.376629992,0.036216381,0.157294214,0.078545232,0.000000000,0.000000000,0.000000000
Brighton Kemptown and Peacehaven,"70,996.000000000",0.233817648,0.603022447,0.042603645,0.000000000,0.112115914,0.000000000,0.000000000,0.008440345
Brighton Pavilion,"77,893.000000000",0.075201119,0.377487966,0.034560869,0.044371159,0.456103533,0.000000000,0.000000000,0.012275354
Bristol Central,"69,801.000000000",0.032958013,0.456316694,0.014512057,0.014357179,0.473632041,0.000000000,0.000000000,0.008224015
Bristol East,"75,476.000000000",0.185218183,0.551218865,0.063293779,0.000000000,0.169825985,0.000000000,0.000000000,0.030443189
Bristol North East,"69,495.000000000",0.115962972,0.577155064,0.037048672,0.172090978,0.088590098,0.000000000,0.000000000,0.009152216
Bristol North West,"76,243.000000000",0.144858880,0.566966149,0.056575007,0.118486251,0.098774843,0.000000000,0.000000000,0.014338869
Bristol South,"74,269.000000000",0.122508170,0.512622549,0.062540850,0.127103758,0.152839052,0.000000000,0.000000000,0.022385621
Broadland and Fakenham,"72,907.000000000",0.226560722,0.264659031,0.106936964,0.319369643,0.082473640,0.000000000,0.000000000,0.000000000
Bromley and Biggin Hill,"70,212.000000000",0.257474816,0.430027692,0.065176386,0.195208091,0.042320504,0.000000000,0.000000000,0.009792511
Bromsgrove,"75,078.000000000",0.280316689,0.377616211,0.073881007,0.193815160,0.050736850,0.000000000,0.023634083,0.000000000
Broxbourne,"75,559.000000000",0.373333333,0.247512356,0.095551895,0.226029654,0.045052169,0.000000000,0.000000000,0.012520593
