PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001114,Boston and Skegness,East Midlands,36.32,32.91,6.85,2.72,18.57,0,0,2.57,28.35,24.14,3.19,0.76,9.21,0,0,0.55,44.29,42.64,11.80,6.88,30.24,0,0,6.34
E14001115,Bournemouth East,South West,28.12,46.00,8.41,4.15,10.43,0,0,2.86,21.19,34.70,3.91,1.17,4.96,0,0,0.57,35.14,56.82,14.55,9.00,17.53,0,0,7.22
E14001116,Bournemouth West,South West,25.57,48.29,7.49,4.18,12.11,0,0,2.33,19.26,37.21,3.59,1.10,5.39,0,0,0.46,31.70,59.14,13.07,9.82,22.43,0,0,5.80
E14001117,Bracknell,South East,35.23,37.75,10.77,2.95,10.12,0,0,3.16,28.31,28.17,5.91,0.69,4.79,0,0,0.83,41.99,47.91,17.02,7.21,18.47,0,0,7.85
E14001118,Bradford East,Yorkshire and The Humber,17.68,55.02,7.61,6.15,9.96,0,0,3.51,13.24,43.21,3.61,1.58,4.90,0,0,0.70,22.55,65.68,13.40,15.97,16.82,0,0,9.71
E14001119,Bradford South,Yorkshire and The Humber,21.12,53.28,4.24,3.42,14.44,0,0,3.44,15.92,42.33,1.67,0.82,7.02,0,0,0.76,26.97,64.13,7.80,9.02,24.71,0,0,8.35
E14001120,Bradford West,Yorkshire and The Humber,11.97,72.47,2.76,4.21,6.20,0,0,2.29,8.42,63.06,1.05,1.18,2.49,0,0,0.47,16.17,80.39,5.52,9.83,11.42,0,0,6.25
E14001121,Braintree,East of England,32.73,42.12,7.58,1.85,13.42,0,0,2.28,25.90,32.84,3.86,0.40,6.55,0,0,0.56,40.04,51.71,12.61,4.88,23.38,0,0,6.07
E14001122,Brent East,London,19.40,52.15,10.44,4.81,5.89,0,0,7.28,14.86,40.63,5.33,1.27,2.33,0,0,2.23,24.52,63.35,17.86,11.96,11.69,0,0,17.29
E14001123,Brent West,London,23.48,53.25,9.57,2.84,5.13,0,0,5.70,17.78,43.08,4.49,0.73,1.99,0,0,1.57,29.88,63.31,16.72,7.25,10.51,0,0,12.77
